epoch,loss
1,1.326791763305664
2,0.8946541714668274
3,0.8478297781944275
4,0.8579932260513305
5,0.7950415754318237
6,0.7740644526481628
7,0.7785962796211243
8,0.7393664264678955
9,0.7264619612693787
10,0.7172848272323609
11,0.7313138294219971
12,0.7196190476417541
13,0.7159544491767883
14,0.7193193221092224
15,0.7097440552711487
16,0.7125085091590881
17,0.7045609974861144
18,0.7022600054740906
19,0.7011547899246215
20,0.7106337237358094
21,0.7046373081207276
22,0.7048496437072754
23,0.7082507634162902
24,0.7006376528739929
25,0.7014413142204284
